path,title,page_type,navigation_status,http_status,last_modified,word_count,image_count,form_count,top_headings,external_domains,proposed_disposition,rationale
/,Home,homepage,current navigation,200,,1353,8,2,"Connecting With Ourselves, Each Other, and The Earth | Check out our *NEW* programs! | Screen-free time in nature. Programs for people of all ages. | Spark Your Child's Connection to Themselves, Each Other, and the Earth! | What is Wayfinders? | Join Our Mailing List | Why Wayfinders? | Our children are disconnecting from themselves, their families, communities, and the earth as they enter their teenage years.",www.facebook.com; www.instagram.com,keep,Canonical homepage; migrate content and preserve root URL.
/events,Events — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2021-12-20,140,4,0,Community Gatherings | November 4th Zoom Community Gathering | October 28th Zoom Community Gathering,us06web.zoom.us; www.facebook.com; www.google.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/events/event-one-mwhc8,October 28th Zoom Community Gathering — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-10-26,78,1,0,October 28th Zoom Community Gathering | November 4th Zoom Community Gathering,us06web.zoom.us; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events/event-two-8k49n,November 4th Zoom Community Gathering — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-10-26,78,1,0,November 4th Zoom Community Gathering | October 28th Zoom Community Gathering,us06web.zoom.us; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one,Spring 2022 Events — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-03-15,570,21,0,Spring Pilot- Final Retreat and Ceremony | Spring Pilot- Final Fire Circle | Spring Pilot - Retreat Session 3 | Spring Pilot- Fire Circle 6 | Spring Pilot-Parent Gathering LIVE for the Parents of our Spring Participants | Spring Pilot- Fire Circle 5,www.facebook.com; www.google.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/events-one/spring-pilot-deadline-to-register,Spring Pilot Deadline to Register — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-02-18,51,1,0,Spring Pilot Deadline to Register | Spring 2022 Pilot Application Deadline | Spring Pilot- Fire Circle 1,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-final-fire-circle,Spring Pilot- Final Fire Circle — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,41,1,0,Spring Pilot- Final Fire Circle | Spring Pilot- Final Retreat and Ceremony,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-fire-circle-6,Spring Pilot- Fire Circle 6 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,40,1,0,Spring Pilot- Fire Circle 6 | Spring Pilot - Retreat Session 3,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-fire-circle-5,Spring Pilot- Fire Circle 5 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,45,1,0,Spring Pilot- Fire Circle 5 | Spring Pilot-Fire Circle 5 | Spring Pilot-Parent Gathering LIVE for the Parents of our Spring Participants,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-fire-circle-4,Spring Pilot- Fire Circle 4 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,39,1,0,Spring Pilot- Fire Circle 4 | Spring Pilot-Fire Circle 4 | Spring Pilot - Retreat Session 2,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
